Position,Team,Mp,Pts,Top scorer,Gls/90,Xg/90
1,Bayern Munich,3,9,Harry Kane - 5,0.41,0.24
2,Dortmund,3,7,Serhou Guirassy - 4,0.24,0.2
3,Köln,3,7,"Marius Bülter, Jakub Kamiński - 2",0.24,0.15
4,St. Pauli,3,7,Andreas Hountondji - 3,0.21,0.13
5,Eint Frankfurt,3,6,Can Uzun - 3,0.24,0.15
6,Hoffenheim,3,6,Fisnik Asllani - 3,0.21,0.14
7,RB Leipzig,3,6,"Christoph Baumgartner, Johan Bakayoko... - 1",0.09,0.13
8,Wolfsburg,3,5,Mohamed Amoura - 2,0.21,0.13
9,Werder Bremen,3,4,"Romano Schmid, Justin Njinmah - 2",0.24,0.15
10,Leverkusen,3,4,Patrik Schick - 3,0.21,0.14
11,Augsburg,3,3,"Marius Wolf, Kristijan Jakić... - 1",0.18,0.08
12,Stuttgart,3,3,"Ermedin Demirović, Tiago Tomás... - 1",0.09,0.09
13,Freiburg,3,3,Igor Matanovic - 2,0.15,0.14
14,Union Berlin,3,3,Ilyas Ansah - 3,0.12,0.12
15,Mainz 05,3,1,Nadiem Amiri - 1,0.03,0.13
16,Gladbach,3,1,,0.0,0.13
17,Hamburger SV,3,1,,0.0,0.04
18,Heidenheim,3,0,Léo Scienza - 1,0.03,0.06
