Position,Team,Mp,Pts,Top scorer,Gls/90,Xg/90
1,Real Madrid,4,12,Kylian Mbappé - 4,0.21,0.22
2,Barcelona,4,10,Raphinha - 3,0.34,0.26
3,Espanyol,4,10,Pere Milla - 3,0.21,0.18
4,Athletic Club,4,9,"Roberto Navarro, Aitor Paredes... - 1",0.16,0.17
5,Getafe,4,9,Adrián Liso - 3,0.16,0.09
6,Villarreal,4,7,Tajon Buchanan - 3,0.21,0.18
7,Alavés,4,7,"Toni Martínez, Nahuel Tenaglia... - 1",0.11,0.09
8,Elche,4,6,Rafa Mir - 3,0.16,0.09
9,Osasuna,4,6,"Ante Budimir, Raúl... - 1",0.08,0.11
10,Betis,5,6,"Marc Bartra, Cédric Bakambu... - 1",0.16,0.18
11,Atlético Madrid,4,5,"Alexander Sørloth, Nicolás González... - 1",0.13,0.13
12,Sevilla,4,4,Isaac Romero - 2,0.18,0.08
13,Rayo Vallecano,4,4,"Álvaro García, Isaac Palazón Camacho... - 1",0.11,0.17
14,Celta Vigo,5,4,Borja Iglesias - 2,0.11,0.15
15,Valencia,4,4,"Arnaut Danjuma, Mouctar Diakhaby... - 1",0.11,0.09
16,Oviedo,4,3,Leander Dendoncker - 1,0.03,0.06
17,Real Sociedad,4,2,"Mikel Oyarzabal, Takefusa Kubo... - 1",0.11,0.13
18,Levante,4,1,Iván Romero - 2,0.13,0.11
19,Mallorca,4,1,Vedat Muriqi - 3,0.11,0.1
20,Girona,4,1,"Vladyslav Vanat, Joel Roca - 1",0.05,0.09
