Position,Team,Mp,Pts,Top scorer,Gls/90,Xg/90
1,Paris S-G,4,12,"Bradley Barcola, João Neves - 3",0.29,0.2
2,Lille,4,10,"Olivier Giroud, Hákon Arnar Haraldsson... - 2",0.38,0.3
3,Monaco,4,9,"Takumi Minamino, Maghnes Akliouche - 2",0.24,0.19
4,Lyon,4,9,Corentin Tolisso - 2,0.18,0.24
5,Strasbourg,4,9,Joaquín Panichelli - 3,0.15,0.16
6,Rennes,4,7,"Ludovic Blas, Esteban Lepaul... - 1",0.15,0.15
7,Marseille,4,6,"Pierre-Emerick Aubameyang, Mason Greenwood - 2",0.26,0.2
8,Lens,4,6,"Adrien Thomasson, Wesley Saïd... - 1",0.15,0.23
9,Nice,4,6,Jeremie Boga - 2,0.15,0.15
10,Toulouse,4,6,Frank Magri - 3,0.21,0.14
11,Paris FC,4,6,Ilan Kebbal - 3,0.21,0.2
12,Angers,4,5,"Esteban Lepaul, Himad Abdelli... - 1",0.09,0.14
13,Nantes,4,3,Mostafa Mohamed - 1,0.03,0.05
14,Le Havre,4,3,"Rassoul Ndiaye, Fodé Doucouré - 2",0.15,0.16
15,Auxerre,4,3,Lassine Sinayoko - 2,0.09,0.13
16,Lorient,4,3,Tosin Aiyegun - 2,0.15,0.16
17,Brest,4,1,Kamory Doumbia - 2,0.15,0.19
18,Metz,4,1,"Jean-Philippe Gbamin, Boubacar Traoré... - 1",0.09,0.13
