Position,Team,Mp,Pts,Top scorer,Gls/90
1,Paris Saint-Germain,25,57,Bradley Barcola-10,2.16
2,Lens,25,56,Wesley Saïd-10,1.92
3,Marseille,25,46,Mason Greenwood-15,2.08
4,Lyon,25,46,Pavel Šulc-10,1.6
5,Rennes,25,43,Esteban Lepaul-12,1.68
6,Lille,25,41,"Olivier Giroud,Hákon Haraldsson... -5",1.52
7,Monaco,25,40,Ansu Fati-8,1.72
8,Strasbourg,25,36,Joaquín Panichelli-14,1.6
9,Brest,25,36,Romain Del Castillo-8,1.36
10,Lorient,25,34,Pablo Pagis-8,1.4
11,Angers,25,32,Sidiki Cherif-4,0.92
12,Toulouse,25,31,Yann Gboho-6,1.32
13,Paris FC,25,27,Ilan Kebbal-8,1.16
14,Le Havre,25,26,Issa Soumaré-6,0.8
15,Nice,25,24,Sofiane Diop-7,1.2
16,Auxerre,25,19,Lassine Sinayoko-6,0.76
17,Nantes,25,17,Matthis Abline-4,0.88
18,Metz,25,13,Gauthier Hein-6,0.88
