Position,Team,Mp,Pts,Top scorer,Gls/90,Xg/90
1,Porto,5,15,Samu Omorodion - 3,0.35,0.3
2,Sporting CP,5,12,Pedro Gonçalves - 4,0.44,0.34
3,Moreirense,5,12,Guilherme Schettine - 4,0.24,0.2
4,Famalicão,5,10,Gustavo sá - 2,0.18,0.13
5,Gil Vicente FC,5,10,Pablo - 3,0.15,0.16
6,Benfica,4,10,Vangelis Pavlidis - 2,0.21,0.23
7,Braga,5,8,"Ricardo Horta, Amine El Ouazzani - 2",0.29,0.26
8,Vitória,5,7,Nélson Oliveira - 2,0.18,0.14
9,Casa Pia,5,6,"Cassiano, Duplexe Tchamba... - 1",0.12,0.12
10,Santa Clara,5,5,"Vinícius, Gabriel Vieira - 1",0.06,0.15
11,Arouca,5,5,"Alfonso Trezza, Naïs Djouahra - 3",0.21,0.08
12,Estoril,5,5,Rafik Guitane - 2,0.24,0.18
13,Alverca,5,4,Marko Milovanović - 2,0.15,0.19
14,Nacional,5,4,Jesús Ramírez - 2,0.12,0.11
15,Rio Ave,4,3,Clayton - 5,0.21,0.15
16,Estrela,5,3,"Ianis Stoica, Sidny Cabral... - 1",0.09,0.17
17,AVS Futebol,5,1,"Nenê, Rafael Barbosa... - 1",0.12,0.13
18,Tondela,5,1,"Ivan Cavaleiro, Tiago Manso - 1",0.06,0.21
