Position,Team,Mp,Pts,Top scorer,Gls/90
1,Porto,25,66,Samu Omorodion-12,1.96
2,Sporting CP,25,62,Luis Javier Suárez-23,2.56
3,Benfica,25,59,Vangelis Pavlidis-21,2.12
4,Braga,25,46,Rodrigo Zalazar-14,2.08
5,Gil Vicente FC,25,41,Pablo-10,1.48
6,Famalicão,25,39,"Gustavo sá,Yassir Zabiri-4",1.2
7,Moreirense,25,35,Guilherme Schettine-9,1.24
8,Estoril,25,34,Yanis Begraoui-17,1.84
9,Vitória Guimarães,25,32,"Samu,Oumar Camara-4",1.12
10,Alverca,25,28,Marko Milovanović-7,0.96
11,Arouca,25,26,Alfonso Trezza-8,1.28
12,Estrela,25,25,Kikas-6,1.12
13,Rio Ave,25,24,Clayton-10,0.96
14,Casa Pia,25,24,Cassiano-5,1.04
15,Santa Clara,25,22,Vinícius-5,0.88
16,Nacional,25,22,Jesús Ramírez-13,1.16
17,Tondela,25,19,Maranhão-6,0.76
18,AVS Futebol,25,10,Nenê-4,0.72
