Position,Team,Mp,Pts,Top scorer,Gls/90,Xg/90
1,Napoli,3,9,Kevin De Bruyne - 2,0.16,0.14
2,Juventus,3,9,Dušan Vlahović - 2,0.18,0.1
3,Cremonese,3,7,"Federico Bonazzoli, Franco Vázquez... - 1",0.13,0.08
4,Udinese,3,7,"Keinan Davis, Arthur Atta... - 1",0.11,0.08
5,Milan,3,6,"Luka Modrić, Ruben Loftus-Cheek... - 1",0.11,0.12
6,Roma,3,6,"Matìas Soulé, Wesley - 1",0.05,0.09
7,Atalanta,3,5,Charles De Ketelaere - 2,0.16,0.13
8,Cagliari,3,4,"Sebastiano Luperto, Yerry Mina... - 1",0.08,0.07
9,Como,3,4,Nicolás Paz - 2,0.08,0.1
10,Torino,3,4,Giovanni Simeone - 1,0.03,0.07
11,Inter,3,3,Marcus Thuram - 3,0.24,0.11
12,Lazio,3,3,"Mattéo Guendouzi, Valentín Castellanos... - 1",0.11,0.13
13,Bologna,3,3,Riccardo Orsolini - 1,0.03,0.05
14,Sassuolo,3,3,"Domenico Berardi, Andrea Pinamonti... - 1",0.08,0.07
15,Genoa,3,2,Caleb Ekuban - 1,0.03,0.09
16,Fiorentina,3,2,"Rolando Mandragora, Luca Ranieri - 1",0.05,0.11
17,Hellas Verona,3,2,Suat Serdar - 1,0.03,0.08
18,Pisa,3,1,,0.03,0.04
19,Parma,3,1,Patrick Cutrone - 1,0.03,0.08
20,Lecce,3,1,Konan N'dri - 1,0.03,0.03
