Position,Team,Mp,Pts,Top scorer,Gls/90
1,Inter,28,67,Lautaro Martínez-14,2.29
2,Milan,28,60,Rafael Leão-9,1.57
3,Napoli,28,56,Rasmus Højlund-9,1.54
4,Como,28,51,"Anastasios Douvikas,Nicolás Paz-9",1.64
5,Roma,28,51,"Donyell Malen,Matìas Soulé-6",1.36
6,Juventus,28,50,Kenan Yıldız-9,1.79
7,Atalanta,28,46,Gianluca Scamacca-8,1.39
8,Bologna,28,39,"Riccardo Orsolini,Santiago Castro-7",1.32
9,Sassuolo,28,38,Domenico Berardi-7,1.25
10,Lazio,28,37,"Danilo Cataldi,Pedro... -3",1.0
11,Udinese,28,36,Keinan Davis-9,1.18
12,Parma,28,34,Mateo Pellegrino-7,0.71
13,Genoa,28,30,Lorenzo Colombo-6,1.21
14,Cagliari,28,30,"Sebastiano Esposito,Semih Kılıçsoy-4",1.07
15,Torino,28,30,"Nikola Vlašić,Giovanni Simeone-6",1.0
16,Lecce,28,27,"Lassana Coulibaly,Lameck Banda... -3",0.71
17,Fiorentina,28,25,Moise Kean-8,1.07
18,Cremonese,28,24,Federico Bonazzoli-6,0.79
19,Hellas Verona,28,18,Gift Orban-7,0.79
20,Pisa,28,15,Stefano Moreo-5,0.71
